timestamp,date,source_code,dataset,series_code,series,demand_mw
2026-06-06 20:30:00,2026-06-06,1,demand,LA PAZ,la_paz,288.31
2026-06-06 20:45:00,2026-06-06,1,demand,LA PAZ,la_paz,284.79
2026-06-06 21:00:00,2026-06-06,1,demand,LA PAZ,la_paz,277.89
2026-06-06 21:15:00,2026-06-06,1,demand,LA PAZ,la_paz,269.03
2026-06-06 21:30:00,2026-06-06,1,demand,LA PAZ,la_paz,258.6
2026-06-06 21:45:00,2026-06-06,1,demand,LA PAZ,la_paz,250.6
2026-06-06 22:00:00,2026-06-06,1,demand,LA PAZ,la_paz,242.03
2026-06-06 22:15:00,2026-06-06,1,demand,LA PAZ,la_paz,234.29
2026-06-06 22:30:00,2026-06-06,1,demand,LA PAZ,la_paz,227.39
2026-06-06 22:45:00,2026-06-06,1,demand,LA PAZ,la_paz,219.06
2026-06-06 23:00:00,2026-06-06,1,demand,LA PAZ,la_paz,210.76
2026-06-06 23:15:00,2026-06-06,1,demand,LA PAZ,la_paz,203.09
2026-06-06 23:30:00,2026-06-06,1,demand,LA PAZ,la_paz,
2026-06-06 23:45:00,2026-06-06,1,demand,LA PAZ,la_paz,
2026-06-06 00:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,166.87
2026-06-06 00:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,162.1
2026-06-06 00:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,160.84
2026-06-06 00:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,155.8
2026-06-06 01:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,153.04
2026-06-06 01:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,150.09
2026-06-06 01:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,148.42
2026-06-06 01:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,146.75
2026-06-06 02:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,144.6
2026-06-06 02:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,144.09
2026-06-06 02:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,142.95
2026-06-06 02:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,144.73
2026-06-06 03:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,141.82
2026-06-06 03:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,139.84
2026-06-06 03:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,139.87
2026-06-06 03:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,139.77
2026-06-06 04:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,140.95
2026-06-06 04:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,141.8
2026-06-06 04:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,141.61
2026-06-06 04:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,142.14
2026-06-06 05:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,145.91
2026-06-06 05:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,150.58
2026-06-06 05:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,153.22
2026-06-06 05:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,155.47
2026-06-06 06:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,160.8
2026-06-06 06:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,162.76
2026-06-06 06:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,157.39
2026-06-06 06:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,155.12
2026-06-06 07:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,157.33
2026-06-06 07:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,159.82
2026-06-06 07:30:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,163.68
2026-06-06 07:45:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,166.97
2026-06-06 08:00:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,174.02
2026-06-06 08:15:00,2026-06-06,1,demand,COCHABAMBA,cochabamba,176.92
