timestamp,date,source_code,dataset,series_code,series,value_mw
2026-06-06 17:00:00,2026-06-06,0,generation,TOT,tot,1296.26
2026-06-06 17:15:00,2026-06-06,0,generation,TOT,tot,1301.41
2026-06-06 17:30:00,2026-06-06,0,generation,TOT,tot,1316.44
2026-06-06 17:45:00,2026-06-06,0,generation,TOT,tot,1365.83
2026-06-06 18:00:00,2026-06-06,0,generation,TOT,tot,1453.62
2026-06-06 18:15:00,2026-06-06,0,generation,TOT,tot,1507.52
2026-06-06 18:30:00,2026-06-06,0,generation,TOT,tot,1522.57
2026-06-06 18:45:00,2026-06-06,0,generation,TOT,tot,1524.52
2026-06-06 19:00:00,2026-06-06,0,generation,TOT,tot,1513.02
2026-06-06 19:15:00,2026-06-06,0,generation,TOT,tot,1506.81
2026-06-06 19:30:00,2026-06-06,0,generation,TOT,tot,1498.79
2026-06-06 19:45:00,2026-06-06,0,generation,TOT,tot,1491.49
2026-06-06 20:00:00,2026-06-06,0,generation,TOT,tot,1447.11
2026-06-06 20:15:00,2026-06-06,0,generation,TOT,tot,1454.87
2026-06-06 20:30:00,2026-06-06,0,generation,TOT,tot,1450.82
2026-06-06 20:45:00,2026-06-06,0,generation,TOT,tot,1438.09
2026-06-06 21:00:00,2026-06-06,0,generation,TOT,tot,1422.67
2026-06-06 21:15:00,2026-06-06,0,generation,TOT,tot,1397.57
2026-06-06 21:30:00,2026-06-06,0,generation,TOT,tot,1369.3
2026-06-06 21:45:00,2026-06-06,0,generation,TOT,tot,1342.32
2026-06-06 22:00:00,2026-06-06,0,generation,TOT,tot,1317.83
2026-06-06 22:15:00,2026-06-06,0,generation,TOT,tot,1292.58
2026-06-06 22:30:00,2026-06-06,0,generation,TOT,tot,1267.36
2026-06-06 22:45:00,2026-06-06,0,generation,TOT,tot,1235.86
2026-06-06 23:00:00,2026-06-06,0,generation,TOT,tot,1208.43
2026-06-06 23:15:00,2026-06-06,0,generation,TOT,tot,1177.9
2026-06-06 23:30:00,2026-06-06,0,generation,TOT,tot,1151.5
2026-06-06 23:45:00,2026-06-06,0,generation,TOT,tot,
2026-06-06 00:00:00,2026-06-06,0,generation,TERMO,termo,774.53
2026-06-06 00:15:00,2026-06-06,0,generation,TERMO,termo,780.16
2026-06-06 00:30:00,2026-06-06,0,generation,TERMO,termo,769.92
2026-06-06 00:45:00,2026-06-06,0,generation,TERMO,termo,763.88
2026-06-06 01:00:00,2026-06-06,0,generation,TERMO,termo,775.21
2026-06-06 01:15:00,2026-06-06,0,generation,TERMO,termo,766.87
2026-06-06 01:30:00,2026-06-06,0,generation,TERMO,termo,759.71
2026-06-06 01:45:00,2026-06-06,0,generation,TERMO,termo,754.29
2026-06-06 02:00:00,2026-06-06,0,generation,TERMO,termo,749.71
2026-06-06 02:15:00,2026-06-06,0,generation,TERMO,termo,744.99
2026-06-06 02:30:00,2026-06-06,0,generation,TERMO,termo,741.58
2026-06-06 02:45:00,2026-06-06,0,generation,TERMO,termo,740.06
2026-06-06 03:00:00,2026-06-06,0,generation,TERMO,termo,737.28
2026-06-06 03:15:00,2026-06-06,0,generation,TERMO,termo,728.42
2026-06-06 03:30:00,2026-06-06,0,generation,TERMO,termo,722.16
2026-06-06 03:45:00,2026-06-06,0,generation,TERMO,termo,715.71
2026-06-06 04:00:00,2026-06-06,0,generation,TERMO,termo,696.71
2026-06-06 04:15:00,2026-06-06,0,generation,TERMO,termo,720.44
2026-06-06 04:30:00,2026-06-06,0,generation,TERMO,termo,728.48
2026-06-06 04:45:00,2026-06-06,0,generation,TERMO,termo,738.01
2026-06-06 05:00:00,2026-06-06,0,generation,TERMO,termo,775.38
2026-06-06 05:15:00,2026-06-06,0,generation,TERMO,termo,785.72
2026-06-06 05:30:00,2026-06-06,0,generation,TERMO,termo,792.87
2026-06-06 05:45:00,2026-06-06,0,generation,TERMO,termo,805.39
2026-06-06 06:00:00,2026-06-06,0,generation,TERMO,termo,815.29
2026-06-06 06:15:00,2026-06-06,0,generation,TERMO,termo,823.44
2026-06-06 06:30:00,2026-06-06,0,generation,TERMO,termo,804.37
2026-06-06 06:45:00,2026-06-06,0,generation,TERMO,termo,800.78
2026-06-06 07:00:00,2026-06-06,0,generation,TERMO,termo,809.37
2026-06-06 07:15:00,2026-06-06,0,generation,TERMO,termo,815.71
2026-06-06 07:30:00,2026-06-06,0,generation,TERMO,termo,821.09
2026-06-06 07:45:00,2026-06-06,0,generation,TERMO,termo,826.56
2026-06-06 08:00:00,2026-06-06,0,generation,TERMO,termo,807.88
2026-06-06 08:15:00,2026-06-06,0,generation,TERMO,termo,823.27
2026-06-06 08:30:00,2026-06-06,0,generation,TERMO,termo,835.86
2026-06-06 08:45:00,2026-06-06,0,generation,TERMO,termo,835.45
2026-06-06 09:00:00,2026-06-06,0,generation,TERMO,termo,853.07
2026-06-06 09:15:00,2026-06-06,0,generation,TERMO,termo,866.62
2026-06-06 09:30:00,2026-06-06,0,generation,TERMO,termo,844.72
2026-06-06 09:45:00,2026-06-06,0,generation,TERMO,termo,846.03
2026-06-06 10:00:00,2026-06-06,0,generation,TERMO,termo,851.2
2026-06-06 10:15:00,2026-06-06,0,generation,TERMO,termo,855.69
2026-06-06 10:30:00,2026-06-06,0,generation,TERMO,termo,858.87
2026-06-06 10:45:00,2026-06-06,0,generation,TERMO,termo,865.7
2026-06-06 11:00:00,2026-06-06,0,generation,TERMO,termo,866.36
2026-06-06 11:15:00,2026-06-06,0,generation,TERMO,termo,863.95
2026-06-06 11:30:00,2026-06-06,0,generation,TERMO,termo,860.01
2026-06-06 11:45:00,2026-06-06,0,generation,TERMO,termo,853.49
2026-06-06 12:00:00,2026-06-06,0,generation,TERMO,termo,868.74
2026-06-06 12:15:00,2026-06-06,0,generation,TERMO,termo,876.38
2026-06-06 12:30:00,2026-06-06,0,generation,TERMO,termo,872.75
2026-06-06 12:45:00,2026-06-06,0,generation,TERMO,termo,882.02
2026-06-06 13:00:00,2026-06-06,0,generation,TERMO,termo,889.76
2026-06-06 13:15:00,2026-06-06,0,generation,TERMO,termo,900.07
2026-06-06 13:30:00,2026-06-06,0,generation,TERMO,termo,888.19
2026-06-06 13:45:00,2026-06-06,0,generation,TERMO,termo,891.49
2026-06-06 14:00:00,2026-06-06,0,generation,TERMO,termo,894.34
2026-06-06 14:15:00,2026-06-06,0,generation,TERMO,termo,902.34
2026-06-06 14:30:00,2026-06-06,0,generation,TERMO,termo,902.34
2026-06-06 14:45:00,2026-06-06,0,generation,TERMO,termo,884.75
2026-06-06 15:00:00,2026-06-06,0,generation,TERMO,termo,878.41
2026-06-06 15:15:00,2026-06-06,0,generation,TERMO,termo,883.27
2026-06-06 15:30:00,2026-06-06,0,generation,TERMO,termo,882.89
2026-06-06 15:45:00,2026-06-06,0,generation,TERMO,termo,885.83
2026-06-06 16:00:00,2026-06-06,0,generation,TERMO,termo,882.52
2026-06-06 16:15:00,2026-06-06,0,generation,TERMO,termo,883.18
2026-06-06 16:30:00,2026-06-06,0,generation,TERMO,termo,881.77
2026-06-06 16:45:00,2026-06-06,0,generation,TERMO,termo,896.77
2026-06-06 17:00:00,2026-06-06,0,generation,TERMO,termo,904.6
2026-06-06 17:15:00,2026-06-06,0,generation,TERMO,termo,911.27
2026-06-06 17:30:00,2026-06-06,0,generation,TERMO,termo,916.03
2026-06-06 17:45:00,2026-06-06,0,generation,TERMO,termo,919.04
2026-06-06 18:00:00,2026-06-06,0,generation,TERMO,termo,961.88
2026-06-06 18:15:00,2026-06-06,0,generation,TERMO,termo,965.73
2026-06-06 18:30:00,2026-06-06,0,generation,TERMO,termo,980.28
2026-06-06 18:45:00,2026-06-06,0,generation,TERMO,termo,971.14
2026-06-06 19:00:00,2026-06-06,0,generation,TERMO,termo,969.73
2026-06-06 19:15:00,2026-06-06,0,generation,TERMO,termo,963.35
2026-06-06 19:30:00,2026-06-06,0,generation,TERMO,termo,963.26
2026-06-06 19:45:00,2026-06-06,0,generation,TERMO,termo,952.46
2026-06-06 20:00:00,2026-06-06,0,generation,TERMO,termo,968.21
2026-06-06 20:15:00,2026-06-06,0,generation,TERMO,termo,1005.29
2026-06-06 20:30:00,2026-06-06,0,generation,TERMO,termo,1009.11
2026-06-06 20:45:00,2026-06-06,0,generation,TERMO,termo,999.24
2026-06-06 21:00:00,2026-06-06,0,generation,TERMO,termo,988.58
2026-06-06 21:15:00,2026-06-06,0,generation,TERMO,termo,982.03
2026-06-06 21:30:00,2026-06-06,0,generation,TERMO,termo,976.11
2026-06-06 21:45:00,2026-06-06,0,generation,TERMO,termo,945.38
2026-06-06 22:00:00,2026-06-06,0,generation,TERMO,termo,927.29
2026-06-06 22:15:00,2026-06-06,0,generation,TERMO,termo,911.39
2026-06-06 22:30:00,2026-06-06,0,generation,TERMO,termo,907.25
2026-06-06 22:45:00,2026-06-06,0,generation,TERMO,termo,875.4
2026-06-06 23:00:00,2026-06-06,0,generation,TERMO,termo,889.42
2026-06-06 23:15:00,2026-06-06,0,generation,TERMO,termo,860.67
2026-06-06 23:30:00,2026-06-06,0,generation,TERMO,termo,836.38
2026-06-06 23:45:00,2026-06-06,0,generation,TERMO,termo,
2026-06-06 00:00:00,2026-06-06,0,generation,HIDRO,hidro,301.37
2026-06-06 00:15:00,2026-06-06,0,generation,HIDRO,hidro,272.52
2026-06-06 00:30:00,2026-06-06,0,generation,HIDRO,hidro,264.55
2026-06-06 00:45:00,2026-06-06,0,generation,HIDRO,hidro,245.64
2026-06-06 01:00:00,2026-06-06,0,generation,HIDRO,hidro,218.8
2026-06-06 01:15:00,2026-06-06,0,generation,HIDRO,hidro,214.37
2026-06-06 01:30:00,2026-06-06,0,generation,HIDRO,hidro,211.25
2026-06-06 01:45:00,2026-06-06,0,generation,HIDRO,hidro,208.05
