timestamp,date,interval,plant_code,generation_type,value_mw
2026-06-06 00:15:00,2026-06-06,1,CAR03,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ERI01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ERI02,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ERI03,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ERI04,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ERI30,TER,35.92
2026-06-06 00:15:00,2026-06-06,1,ERI31,TER,42.61
2026-06-06 00:15:00,2026-06-06,1,ERI32,TER,42.58
2026-06-06 00:15:00,2026-06-06,1,ERI40,TER,0.01
2026-06-06 00:15:00,2026-06-06,1,ERI41,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ERI42,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,ERI50,TER,34.67
2026-06-06 00:15:00,2026-06-06,1,ERI51,TER,34.72
2026-06-06 00:15:00,2026-06-06,1,ERI52,TER,34.74
2026-06-06 00:15:00,2026-06-06,1,GCH01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,GCH02,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,GCH04,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,GCH06,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,GCH09,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,GCH10,TER,50.06
2026-06-06 00:15:00,2026-06-06,1,GCH11,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,GCH12,TER,36.4
2026-06-06 00:15:00,2026-06-06,1,MOS,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,SCZ01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,SCZ02,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,SUR10,TER,28.01
2026-06-06 00:15:00,2026-06-06,1,SUR11,TER,23.55
2026-06-06 00:15:00,2026-06-06,1,SUR12,TER,23.25
2026-06-06 00:15:00,2026-06-06,1,SUR20,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,SUR21,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,SUR22,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,SUR30,TER,37.13
2026-06-06 00:15:00,2026-06-06,1,SUR31,TER,43.15
2026-06-06 00:15:00,2026-06-06,1,SUR32,TER,43.16
2026-06-06 00:15:00,2026-06-06,1,SUR40,TER,34.56
2026-06-06 00:15:00,2026-06-06,1,SUR41,TER,40.96
2026-06-06 00:15:00,2026-06-06,1,SUR42,TER,40.95
2026-06-06 00:15:00,2026-06-06,1,VHE01,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,VHE02,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,VHE03,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,VHE04,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,VHE05,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,VHE06,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,VHE07,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,VHE08,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,WAR05,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,WAR10,TER,27.91
2026-06-06 00:15:00,2026-06-06,1,WAR11,TER,24.1
2026-06-06 00:15:00,2026-06-06,1,WAR12,TER,24.1
2026-06-06 00:15:00,2026-06-06,1,WAR20,TER,29.32
2026-06-06 00:15:00,2026-06-06,1,WAR21,TER,23.18
2026-06-06 00:15:00,2026-06-06,1,WAR22,TER,23.52
2026-06-06 00:15:00,2026-06-06,1,WAR30,TER,36.44
2026-06-06 00:15:00,2026-06-06,1,WAR31,TER,41.37
2026-06-06 00:15:00,2026-06-06,1,WAR32,TER,41.56
2026-06-06 00:15:00,2026-06-06,1,WAR40,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,WAR41,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,WAR42,TER,0.0
2026-06-06 00:15:00,2026-06-06,1,CH ZON,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH TIQ,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH BOT,HID,1.41
2026-06-06 00:15:00,2026-06-06,1,CH CUT,HID,4.7
2026-06-06 00:15:00,2026-06-06,1,CH SRO BA,HID,1.18
2026-06-06 00:15:00,2026-06-06,1,CH SRO AC,HID,3.44
2026-06-06 00:15:00,2026-06-06,1,CH SAI,HID,4.07
2026-06-06 00:15:00,2026-06-06,1,CH CHU,HID,6.98
2026-06-06 00:15:00,2026-06-06,1,CH HAR,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH CAH,HID,10.97
2026-06-06 00:15:00,2026-06-06,1,CH HUA,HID,15.31
2026-06-06 00:15:00,2026-06-06,1,CH CHJ2,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH YAN,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH COR,HID,51.48
2026-06-06 00:15:00,2026-06-06,1,CH SIS,HID,72.13
2026-06-06 00:15:00,2026-06-06,1,CH SJS,HID,49.35
2026-06-06 00:15:00,2026-06-06,1,CH SJE,HID,59.2
2026-06-06 00:15:00,2026-06-06,1,CH MIS,HID,11.0
2026-06-06 00:15:00,2026-06-06,1,CH MIG,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH ANG,HID,2.89
2026-06-06 00:15:00,2026-06-06,1,CH CHO,HID,3.55
2026-06-06 00:15:00,2026-06-06,1,CH CRB,HID,3.71
2026-06-06 00:15:00,2026-06-06,1,CH KIL,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH LAN,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH PUN,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH KAN,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,CH SJA,HID,0.0
2026-06-06 00:15:00,2026-06-06,1,AGU01,BIO,0.0
2026-06-06 00:15:00,2026-06-06,1,AGU02,BIO,0.0
2026-06-06 00:15:00,2026-06-06,1,GBE01,BIO,5.99
2026-06-06 00:15:00,2026-06-06,1,IAG01,BIO,0.0
2026-06-06 00:15:00,2026-06-06,1,UNA01,BIO,0.0
2026-06-06 00:15:00,2026-06-06,1,CSF ORU,INT,-0.01
2026-06-06 00:15:00,2026-06-06,1,CSF UYU,INT,-0.19
2026-06-06 00:15:00,2026-06-06,1,CSF YUN,INT,0.0
