timestamp,demand_mw,actual_dispatch_mw,optimized_dispatch_mw,actual_cost_proxy_usd,optimized_cost_proxy_usd,actual_renewable_mwh,optimized_renewable_mwh,actual_total_mwh,optimized_total_mwh,unserved_mw,actual_renewable_share,optimized_renewable_share,cost_proxy_saving_usd
2026-06-06 04:45:00,910.63,1008.58,937.9488999999998,12038.795,6122.247374999996,48.9725,155.371,252.145,234.48722499999994,0.0,0.19422356183941777,0.6625989965977893,5916.547625000004
2026-06-06 05:00:00,919.45,1013.48,947.0334999999998,12150.805,6255.410624999996,47.7825,155.20600000000002,253.37,236.75837499999994,0.0,0.18858783597110942,0.6555459759343257,5895.394375000004
2026-06-06 05:15:00,915.86,1032.86,943.3357999999997,12657.0575,6211.8172499999955,41.525,155.061,258.215,235.83394999999993,0.0,0.1608155994035978,0.6575007542383107,6445.240250000005
2026-06-06 05:30:00,922.78,1072.21,950.4633999999999,13222.625,6312.571749999997,40.910000000000004,155.00600000000003,268.0525,237.61584999999997,0.0,0.15261935628281775,0.6523386381842796,6910.053250000003
2026-06-06 05:45:00,947.62,1078.07,976.0486000000001,13316.5,6664.49325,40.6025,155.00350000000003,269.5175,244.01215000000002,0.0,0.15064884469468587,0.6352286146407055,6652.00675
2026-06-06 06:00:00,961.13,1087.02,989.9639,13470.72,6856.328624999998,39.765,154.9935,271.755,247.490975,0.0,0.14632665452337584,0.6262591999566853,6614.391375000001
2026-06-06 06:15:00,981.59,1100.7,1011.0377000000002,13623.05,7146.593375000002,40.75,154.98350000000002,275.175,252.75942500000005,0.0,0.14808758063050786,0.6131660570125129,6476.456624999997
2026-06-06 06:30:00,945.26,1116.78,973.6178,13768.244999999999,6631.069749999999,42.785,155.00350000000003,279.195,243.40445,0.0,0.1532441483550923,0.6368145693310046,7137.17525
2026-06-06 06:45:00,934.21,1083.35,962.2362999999998,13449.5125,6475.449124999996,39.0325,154.98600000000002,270.8375,240.55907499999995,0.0,0.1441177828033415,0.6442741767276917,6974.063375000005
2026-06-06 07:00:00,951.72,1073.3899999999999,980.2716000000001,13357.6175,6670.809500000001,37.29,156.03850000000003,268.34749999999997,245.06790000000004,0.0,0.13896160761698917,0.6367153756163088,6686.807999999999
